,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
8210,"MOHIT NAGAR, DEHRADUN,Uttaranchal","₹ 5,500",Houses & Villas,1,1,Semi-Furnished,Owner,150,150,No,0,1,1,0,North,
8211,"OLD DALANWALA, DEHRADUN,Uttaranchal","₹ 50,000",Houses & Villas,3,3,Semi-Furnished,Dealer,4000,3800,No,0,2,2,2,North-West,
8212,"RACE COURSE, DEHRADUN,Uttaranchal","₹ 30,000",Houses & Villas,3,2,Furnished,Dealer,1500,1300,No,,2,1,1,North,7060563573
8213,"AVAS VIKAS, ROORKEE,Uttaranchal","₹ 13,000",Houses & Villas,2,2,Semi-Furnished,Owner,2000,1750,No,,,1,,East,
8214,"RISHI VIHAR COLONY, DEHRADUN,Uttaranchal","₹ 15,000",Houses & Villas,3,2,Unfurnished,Owner,2200,1600,No,,,1,,West,
8215,"CENTRAL HOPE TOWN, SELAQUI,Uttaranchal","₹ 9,000",,,,,,,,,,,,,,
8216,"THDC COLONY, DEHRADUN,Uttaranchal","₹ 8,000",Apartments,2,2,Semi-Furnished,Builder,1100,1100,Yes,0,4,1,2,North-West,
8217,"BANJARAWALA, DEHRADUN,Uttaranchal","₹ 30,00,000",Houses & Villas,2,1,Semi-Furnished,Owner,850,650,,0,1,,1,West,
8218,"MUKHANI, HALDWANI,Uttaranchal","₹ 6,500",Houses & Villas,2,2,Unfurnished,Owner,9,9,,,,1,,,
8219,"CHAUDAHBIGHA, RISHIKESH,Uttaranchal","₹ 9,000",Apartments,2,2,Semi-Furnished,Owner,800,750,Yes,200,3,,1,North,KRISHNA KUTIR
8220,"RUDRAPUR, UTTARANCHAL,Uttaranchal","₹ 4,500",Houses & Villas,1,1,Semi-Furnished,Owner,0,0,Yes,0,3,1,1,West,
8221,"CLEMENT TOWN, DEHRADUN,Uttaranchal","₹ 9,900",Houses & Villas,1,2,Unfurnished,Dealer,1000,800,No,100,2,1,1,North-East,
8222,"JAKHAN, DEHRADUN,Uttaranchal","₹ 1,999",Houses & Villas,1,1,Unfurnished,Owner,200,200,No,0,1,3+,1,North-East,
8223,"RAM NAGAR, HARIDWAR,Uttaranchal","₹ 5,500",Houses & Villas,1,1,Unfurnished,Owner,600,500,No,5500,1,0,1,South,
8224,"MOHAKAMPUR, DEHRADUN,Uttaranchal","₹ 8,000",Houses & Villas,2,1,Unfurnished,Owner,1150,1100,Yes,0,1,1,1,North-East,
8225,"KRISHNA NAGAR, DEHRADUN,Uttaranchal","₹ 2,500",Houses & Villas,1,1,Semi-Furnished,Owner,3000,2500,Yes,0,1,0,1,North-East,
8226,"RAIPUR, DEHRADUN,Uttaranchal","₹ 15,000",Houses & Villas,3,1,Unfurnished,Owner,1000,900,,15000,1,0,2,South,R. B. TRADERS
8227,"PRIT VIHAR, DEHRADUN,Uttaranchal","₹ 9,500",Houses & Villas,2,1,Semi-Furnished,Owner,20,60,Yes,9500,3,1,1,South-West,
8228,"MUKHANI, HALDWANI,Uttaranchal","₹ 6,000",Houses & Villas,2,1,Semi-Furnished,Owner,1800,900,No,6000,2,2,1,North-East,
8229,"CHAKRATA ROAD JHAJRA, DEHRADUN,Uttaranchal","₹ 15,000",Apartments,4,4,Semi-Furnished,Dealer,1600,1400,No,1200,6,0,4,North-West,
8230,"HALDU POKHRA DHARAMPAL, HALDWANI,Uttaranchal","₹ 3,200",Houses & Villas,2,1,Unfurnished,Owner,2000,500,Yes,0,2,1,1,South,
8231,"RAJPUR ROAD, DEHRADUN,Uttaranchal","₹ 10,000",Houses & Villas,2,1,Semi-Furnished,Owner,50,100,Yes,500,1,3+,1,South,
8232,"SARTHI VIHAR, DEHRADUN,Uttaranchal","₹ 8,000",Houses & Villas,2,1,Furnished,Owner,5000,3000,Yes,,1,1,1,North,2 bedroom house for rent
8233,"ANARWALA, DEHRADUN,Uttaranchal","₹ 7,500",Houses & Villas,2,2,Unfurnished,Owner,0,0,No,,1,,,,
8234,"RAJENDRA NAGAR, DEHRADUN,Uttaranchal","₹ 3,200",Apartments,,1,Semi-Furnished,Owner,0,0,Yes,0,1,0,,East,"single room with washroom for student and working, kitchn adjustable"
8235,"CHANDRA PURI, GOCHAR,Uttaranchal","₹ 4,500",Builder Floors,1,1,Unfurnished,Owner,150,112,Yes,4500,1,0,5,South-West,
8236,"INDRA NAGAR, DEHRADUN,Uttaranchal","₹ 16,500",Houses & Villas,3,2,Semi-Furnished,Owner,1290,2000,,,1,1,1,North-East,
8237,"BALLUPURA, DEHRADUN,Uttaranchal","₹ 12,000",Apartments,2,2,Semi-Furnished,Owner,1900,1750,Yes,0,2,2,1,East,
8238,"KANKHAL, HARIDWAR,Uttaranchal","₹ 3,500",Builder Floors,1,1,Semi-Furnished,Owner,144,144,Yes,,,,,,
8239,"SALEMPUR MAHDOOD, SIDCUL HARIDWAR,Uttaranchal","₹ 3,500",Houses & Villas,2,1,Unfurnished,Owner,600,550,Yes,10,1,0,1,North,
8240,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 11,000",Houses & Villas,3,2,Semi-Furnished,Dealer,1500,1400,No,,,1,,North,8791156677
8241,"MOHANPUR VILLAGE, DEHRADUN,Uttaranchal","₹ 6,000",Houses & Villas,2,1,Semi-Furnished,Owner,550,525,Yes,6000,2,0,1,East,
8242,"JWALA PUR, HARIDWAR,Uttaranchal","₹ 7,500",Houses & Villas,2,1,Unfurnished,Owner,1000,1000,No,7500,2,0,0,North-East,
8243,"HATHIBARKALA SALAWALA, DEHRADUN,Uttaranchal","₹ 5,500",Houses & Villas,1,1,Semi-Furnished,Owner,2000,1000,Yes,100,2,0,2,East,
8244,"DOON IT PARK, DEHRADUN,Uttaranchal","₹ 13,000",Apartments,1,1,Furnished,Owner,555,540,Yes,1200,6,1,5,East,
8245,"VIJAY COLONY, DEHRADUN,Uttaranchal","₹ 11,000",Houses & Villas,2,1,,,1800,1800,No,,,1,,,
8246,"FAJALPUR MAHRAULA, RUDRAPUR,Uttaranchal","₹ 5,000",Houses & Villas,2,1,Furnished,Owner,500,500,Yes,200,2,0,12,West,
8247,"MANIHAR GOTH, TANAKPUR,Uttaranchal","₹ 5,000",Apartments,3,1,Semi-Furnished,Owner,0,0,No,5000,2,0,1,North,
8248,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 26,000",Houses & Villas,2,4,Unfurnished,Owner,8500,8000,No,26000,1,1,0,,
8249,"BARRAGE COLONY, RISHIKESH,Uttaranchal","₹ 9,500",Apartments,1,1,Furnished,Owner,300,300,Yes,0,5,3+,5,North-West,
8250,"SUKHDEV NAGAR, ROORKEE,Uttaranchal","₹ 8,000",Houses & Villas,1,1,Unfurnished,Owner,650,650,Yes,,2,0,1,East,2 Room set available in Ramnagar roorkee
8251,"INDRA NAGAR, DEHRADUN,Uttaranchal","₹ 25,000",Houses & Villas,3,3,Furnished,Owner,4000,3500,No,,2,2,1,,
8252,"BALLIWALA, DEHRADUN,Uttaranchal","₹ 16,000",Builder Floors,2,2,Semi-Furnished,Dealer,1200,1400,Yes,500,3,1,2,North-West,
8253,"SUDHUWAL, DEHRADUN,Uttaranchal","₹ 4,500",Builder Floors,1,1,Semi-Furnished,Owner,1000,1000,Yes,4500,2,3+,1,East,
8254,"KUSUMKHERA, HALDWANI,Uttaranchal","₹ 10,000",Houses & Villas,3,2,Unfurnished,Owner,1000,1000,No,7500320005,3,1,1,South-West,
8255,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 5,999",Houses & Villas,1,1,Semi-Furnished,Dealer,500,588,Yes,,,,,North,7351025676
8256,"MANPUR PASHCHIM, HALDWANI,Uttaranchal","₹ 8,000",Apartments,2,2,Semi-Furnished,Owner,1000,800,No,0,2,0,0,East,
8257,"RAM NAGAR, ROORKEE,Uttaranchal","₹ 4,200",Builder Floors,1,1,Furnished,Owner,1450,700,Yes,,2,1,2,West,
8258,"SHEKHPURA, ROORKEE,Uttaranchal","₹ 5,500",Houses & Villas,2,2,Unfurnished,Owner,1000,1000,No,,,0,1,East,2 room set for rent
8259,"DAMUA DHUNGA KHAM, HALDWANI,Uttaranchal","₹ 6,800",Houses & Villas,3,1,Furnished,Owner,3000,3000,Yes,6800,3,0,1,South-West,
8260,"SAHASTRADHARA, DEHRADUN,Uttaranchal","₹ 13,000",Builder Floors,1,1,Furnished,Dealer,1000,900,Yes,0,3,1,1,East,
8261,"MALLITAL, NAINITAL,Uttaranchal","₹ 23,00,000",Builder Floors,4+,4+,Furnished,Owner,4000,2800,,,2,,,,
8262,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 14,000",Houses & Villas,3,3,Semi-Furnished,Dealer,1800,1750,Yes,,2,1,2,,Call me on 9760999175
8263,"JWALAPUR, HARIDWAR,Uttaranchal","₹ 8,000",Apartments,2,2,Semi-Furnished,Dealer,870,750,Yes,500,4,1,1,East,
8264,"VIVEK VIHAR, HERBERTPUR,Uttaranchal","₹ 7,500",Houses & Villas,2,1,Semi-Furnished,Owner,1200,1000,No,7500,1,2,1,West,
8265,"DOIWALA CHOWK, DOIWALA,Uttaranchal","₹ 6,500",Houses & Villas,2,1,Unfurnished,Owner,1200,2000,Yes,6500,1,2,1,North-East,
8266,"SHIMLA BYPASS ROAD, DEHRADUN,Uttaranchal","₹ 8,000",Houses & Villas,2,1,Furnished,Owner,14,14,Yes,8000,2,0,1,East,
8267,"EKTA VIHAR, DEHRADUN,Uttaranchal","₹ 14,000",Houses & Villas,2,2,Semi-Furnished,Owner,1300,1250,Yes,0,1,0,1,South,
8268,"MAHESHPURA, KASHIPUR,Uttaranchal","₹ 3,000",Houses & Villas,1,1,Unfurnished,Owner,400,400,Yes,,2,0,1,North,House for Rent
8269,"NAND VIHAR, ROORKEE,Uttaranchal","₹ 8,500",Houses & Villas,2,2,Unfurnished,Owner,1700,1500,Yes,8500,2,2,0,East,
