,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
1414,"RAMPUR BHOLA, DHAMPUR,Uttar Pradesh","₹ 3,200",Houses & Villas,1,1,Furnished,Owner,500,300,Yes,300,2,0,1,East,
1415,"GOMTI NAGAR, LUCKNOW,Uttar Pradesh","₹ 12,500",Houses & Villas,2,2,Unfurnished,Owner,1300,1250,No,,2,1,1,South,
1416,"KALANDIPURAM, ALLAHABAD,Uttar Pradesh","₹ 3,500",Builder Floors,1,1,Furnished,Owner,275,255,,100,2,0,1,South,Room for rent
1417,"NAYABAS, HARDUAGANJ,Uttar Pradesh","₹ 5,600",Houses & Villas,2,2,Semi-Furnished,Owner,450,450,No,0,2,0,,East,Personal house
1418,"GAMMA II GR NOIDA, GREATER NOIDA,Uttar Pradesh","₹ 7,000",Houses & Villas,2,2,Semi-Furnished,Dealer,120,120,Yes,0,2,2,2,North-East,
1419,"GOMTI NAGAR, LUCKNOW,Uttar Pradesh","₹ 10,000",Houses & Villas,2,2,Unfurnished,Owner,1300,1250,Yes,0,3,1,2,,
1420,"SAIDHARI, LAKHIMPUR,Uttar Pradesh","₹ 7,000",Builder Floors,2,1,Unfurnished,Owner,800,400,No,1000,1,1,1,East,
1421,"DHARIPUR, KANPUR,Uttar Pradesh","₹ 5,000",Houses & Villas,1,1,Unfurnished,Owner,800,1000,Yes,,1,0,1,South,
1422,"MEDICAL ROAD, GORAKHPUR,Uttar Pradesh","₹ 5,200",Houses & Villas,1,1,Semi-Furnished,Owner,1600,750,Yes,,2,0,2,East,HOUSE FOR RENT IN JHUNGIA BAZAR.
1423,"BAHALIMPURA, BULANDSHAHR,Uttar Pradesh","₹ 6,000",Houses & Villas,3,2,Furnished,Owner,200,18,No,25,1,1,2,West,
1424,"FAIZULLAHGANJ, LUCKNOW,Uttar Pradesh","₹ 10,000",Houses & Villas,2,2,Semi-Furnished,Owner,1250,1250,Yes,10000,1,1,1,East,
1425,"HAPUR ROAD INDUSTRIAL AREA, GHAZIABAD,Uttar Pradesh","₹ 5,500",Houses & Villas,2,1,Unfurnished,Owner,550,550,Yes,100,2,1,2,North-East,
1426,"SOYEPUR, VARANASI,Uttar Pradesh","₹ 4,500",,,,,,,,,,,,,,
1427,"VASUNDHARA SECTOR 3, GHAZIABAD,Uttar Pradesh","₹ 8,000",Builder Floors,1,1,Semi-Furnished,,541,412,Yes,500,4,0,1,North-East,Builder floor
1428,"GANGAKHERA, LUCKNOW,Uttar Pradesh","₹ 5,000",Houses & Villas,1,1,Furnished,Owner,4500,2200,Yes,200,2,0,1,North,
1429,"SHIV PURWA, VARANASI,Uttar Pradesh","₹ 2,200",Houses & Villas,1,1,Semi-Furnished,Owner,200,400,Yes,0,2,0,1,North-West,
1430,"RAJROOP PUR, ALLAHABAD,Uttar Pradesh","₹ 6,000",Apartments,1,1,Semi-Furnished,Owner,70,100,Yes,0,8,1,8,North,
1431,"KRISHNA NAGAR COLONY, LUCKNOW,Uttar Pradesh","₹ 11,500",Houses & Villas,2,2,Semi-Furnished,Owner,1100,1250,No,1,2,1,1,North,
1432,"MAKKAGANJ, LUCKNOW,Uttar Pradesh","₹ 7,500",Houses & Villas,2,1,Furnished,Owner,700,700,Yes,7500,2,0,2,East,
1433,"DHARIPUR, KANPUR,Uttar Pradesh","₹ 6,500",Houses & Villas,2,1,Unfurnished,Owner,1000,1200,Yes,,1,0,0,South,
1434,"SITAPUR ROAD, LUCKNOW,Uttar Pradesh","₹ 2,000",Houses & Villas,2,2,Furnished,,800,750,Yes,8000,1,1,1,West,1 se 2 boys need urgent
1435,"RUCHI KHAND II, LUCKNOW,Uttar Pradesh","₹ 13,700",Houses & Villas,2,2,Furnished,Owner,1800,1600,Yes,,5,1,2,South,
1436,"NEW KATRA, ALLAHABAD,Uttar Pradesh","₹ 5,000",Houses & Villas,4+,3,Unfurnished,Owner,111,115,Yes,,3,0,1,West,
1437,"AVAS VIKASH COLONY, UNNAO,Uttar Pradesh","₹ 6,999",Houses & Villas,2,2,Semi-Furnished,Owner,720,720,No,6999,3,1,2,South-West,
1438,"SHANTIPURAM SECTOR E, ALLAHABAD,Uttar Pradesh","₹ 3,000",Houses & Villas,1,1,Semi-Furnished,Owner,130,110,Yes,,3,1,2,North,
1439,"HUSAINGANJ, LUCKNOW,Uttar Pradesh","₹ 3,000",Houses & Villas,1,1,,,2000,2000,Yes,,,,,,
1440,"NOIDA-GREATER NOIDA LINK RD, NOIDA,Uttar Pradesh","₹ 9,500",Apartments,2,2,Semi-Furnished,Dealer,980,700,No,2600,21,1,15,North-West,
1441,"NOIDA-GREATER NOIDA LINK RD, NOIDA,Uttar Pradesh","₹ 11,700",,,,,,,,,,,,,,
1442,"RAJAPUR, ALLAHABAD,Uttar Pradesh","₹ 6,500",Houses & Villas,2,1,Unfurnished,Owner,500,500,Yes,6500,1,0,1,South-West,
1443,"NOIDA-GREATER NOIDA LINK RD, NOIDA,Uttar Pradesh","₹ 17,000",Apartments,3,2,Semi-Furnished,Dealer,1610,1350,No,1,21,1,1,North-East,
1444,"SECTOR 44, NOIDA,Uttar Pradesh","₹ 10,500",Builder Floors,1,1,Furnished,Owner,550,500,Yes,300,5,1,2,North-East,
1445,"MAYUR VIHAR, LUCKNOW,Uttar Pradesh","₹ 10,000",Houses & Villas,3,2,Semi-Furnished,Owner,1500,2500,Yes,500,2,1,1,East,
1446,"SECTOR ETA II, GREATER NOIDA,Uttar Pradesh","₹ 6,000",Apartments,1,1,Unfurnished,Dealer,770,635,Yes,1000,24,2,17,South-West,
1447,"SECTOR 151, NOIDA,Uttar Pradesh","₹ 7,500",Apartments,2,2,Semi-Furnished,Builder,953,850,Yes,1,22,1,10,North-East,
1448,"NOIDA-GREATER NOIDA LINK RD, NOIDA,Uttar Pradesh","₹ 12,500",Apartments,2,2,Semi-Furnished,Dealer,1295,1000,No,1,20,1,12,North-East,
1449,"SECTOR 151, NOIDA,Uttar Pradesh","₹ 8,500",Apartments,3,3,Semi-Furnished,Owner,1400,1300,Yes,1,22,1,8,North-East,
1450,"SECTOR 151, NOIDA,Uttar Pradesh","₹ 8,000",Apartments,2,2,Semi-Furnished,Dealer,1000,950,Yes,2,22,1,9,North-East,
1451,"PARI CHOWK, GREATER NOIDA,Uttar Pradesh","₹ 10,000",Apartments,4,4,Semi-Furnished,Dealer,1450,1400,Yes,2500,22,1,7,North-East,
1452,"SECTOR 135, NOIDA,Uttar Pradesh","₹ 3,000",Apartments,1,1,Unfurnished,Owner,200,1500,Yes,0,16,0,4,North,
1453,"DAYALBAGH, AGRA,Uttar Pradesh","₹ 14,000",Apartments,2,2,Semi-Furnished,Dealer,1215,1100,No,1400,11,1,10,North-East,
1454,"RAM GANGA, MORADABAD,Uttar Pradesh","₹ 12,000",Houses & Villas,2,2,Semi-Furnished,Dealer,1300,1250,Yes,0,1,1,0,East,
1455,"ALIGANJ, LUCKNOW,Uttar Pradesh","₹ 15,000",Houses & Villas,3,1,Semi-Furnished,Owner,1800,1800,Yes,1000,2,1,2,North-East,
1456,"DEEN DAYAL NAGAR, MORADABAD,Uttar Pradesh","₹ 7,500",Houses & Villas,2,1,Semi-Furnished,Dealer,1050,950,Yes,0,1,1,0,West,
1457,"BARAULA, NOIDA,Uttar Pradesh","₹ 4,500",Builder Floors,1,1,Unfurnished,Owner,500,450,Yes,,3,,1,North-East,One room set with atrached washroom and kitchen
1458,"SECTOR 18, NOIDA,Uttar Pradesh","₹ 6,500",Apartments,1,1,Semi-Furnished,Dealer,450,400,Yes,300,5,1,2,East,
1459,"AWAS VIKAS COLONY, BULANDSHAHR,Uttar Pradesh","₹ 4,500",Houses & Villas,2,1,Semi-Furnished,Owner,750,750,Yes,4500,2,0,1,North-East,
1460,"LANKA, VARANASI,Uttar Pradesh","₹ 13,000",Houses & Villas,2,1,Unfurnished,Dealer,0,0,No,100,0,1,0,North-East,
1461,"TEJ VIHAR, MEERUT,Uttar Pradesh","₹ 6,500",Houses & Villas,3,1,Unfurnished,Owner,200,200,Yes,0,2,0,1,North-East,
1462,"SECTOR 37, NOIDA,Uttar Pradesh","₹ 5,500",Apartments,1,1,Furnished,Owner,350,300,Yes,300,5,0,1,East,
1463,"KHATIBABA MOHALLA, JHANSI,Uttar Pradesh","₹ 5,000",Apartments,1,1,Unfurnished,Owner,3500,550,No,,1,1,,,
1464,"JANKIPURAM, LUCKNOW,Uttar Pradesh","₹ 12,000",Houses & Villas,3,2,Semi-Furnished,Owner,1250,1200,Yes,1500,1,1,1,North,
1465,"DOGHARIA, BAREILLY,Uttar Pradesh","₹ 3,000",Apartments,1,1,Furnished,Owner,200,50,Yes,0,2,2,1,North-West,
1466,"SIPRI, JHANSI,Uttar Pradesh","₹ 6,000",Houses & Villas,2,1,Unfurnished,Owner,1650,1650,,6000,1,1,1,,Ahuja house
1467,"WAZIRGANJ, LUCKNOW,Uttar Pradesh","₹ 15,000",Apartments,3,2,Unfurnished,Owner,1100,1000,Yes,0,6,0,1,,Hasan Apartment
1468,"WAZIRGANJ, LUCKNOW,Uttar Pradesh","₹ 10,000",Apartments,2,2,Unfurnished,Owner,1000,900,Yes,0,6,0,0,,Hasan Apartment
1469,"SUNDARPUR, VARANASI,Uttar Pradesh","₹ 15,000",Houses & Villas,2,2,Semi-Furnished,Dealer,1500,1400,No,0,2,1,1,East,
1470,"SUSWAHI, VARANASI,Uttar Pradesh","₹ 14,000",Apartments,2,2,Semi-Furnished,Dealer,1200,1100,No,1000,0,1,1,East,
1471,"LANKA, VARANASI,Uttar Pradesh","₹ 18,000",Apartments,2,2,Semi-Furnished,Dealer,1405,1300,No,1500,5,1,1,East,
1472,"SUNDARPUR, VARANASI,Uttar Pradesh","₹ 15,000",Builder Floors,2,2,Semi-Furnished,Dealer,1400,1300,No,0,2,0,1,East,
1473,"MANDUADIH, VARANASI,Uttar Pradesh","₹ 24,000",Apartments,2,2,Furnished,Dealer,1260,1100,No,0,0,1,0,East,
1474,"SUNDARPUR, VARANASI,Uttar Pradesh","₹ 32,000",Apartments,3,2,Furnished,Dealer,1350,1215,No,0,7,1,0,East,
1475,"SUNDARPUR, VARANASI,Uttar Pradesh","₹ 16,000",Apartments,3,3,Semi-Furnished,Dealer,1500,1350,No,2000,5,1,4,East,
1476,"SUNDARPUR, VARANASI,Uttar Pradesh","₹ 15,000",Houses & Villas,2,2,Unfurnished,Dealer,1200,1100,No,0,2,1,1,East,
1477,"LANKA, VARANASI,Uttar Pradesh","₹ 9,000",Houses & Villas,2,1,Unfurnished,Dealer,1000,900,No,0,3,0,0,East,
1478,"KAKARMATA COLONY, VARANASI,Uttar Pradesh","₹ 13,500",Houses & Villas,3,2,Unfurnished,Dealer,1400,1300,No,0,2,1,1,East,
1479,"SECTOR M, LUCKNOW,Uttar Pradesh","₹ 7,000",Houses & Villas,1,2,Semi-Furnished,Dealer,560,560,Yes,0,3,0,1,North-East,
1480,"SARAI QAZIKADAN, JAUNPUR,Uttar Pradesh","₹ 6,000",Houses & Villas,2,1,Semi-Furnished,Owner,800,750,Yes,6000,3,1,2,West,
1481,"SECTOR 74, NOIDA,Uttar Pradesh","₹ 7,000",Apartments,1,1,Unfurnished,Owner,450,350,Yes,200,4,1,1,East,
1482,"MAHDEORI NEAR PRITAM NAGAR, ALLAHABAD,Uttar Pradesh","₹ 10,000",Houses & Villas,3,1,Semi-Furnished,Owner,1000,910,No,,2,0,1,East,Three Room Set
1483,"SECTOR M, LUCKNOW,Uttar Pradesh","₹ 9,000",Houses & Villas,1,1,Semi-Furnished,Dealer,700,600,Yes,0,4,0,1,North-West,
1484,"GOMTI NAGAR, LUCKNOW,Uttar Pradesh","₹ 16,500",Houses & Villas,2,2,Semi-Furnished,Dealer,1250,1200,Yes,0,2,1,1,East,
1485,"SECTOR 37, NOIDA,Uttar Pradesh","₹ 6,500",Builder Floors,1,1,Semi-Furnished,Dealer,450,400,Yes,400,6,1,2,East,
1486,"STATE BANK COLONY, DHAMPUR,Uttar Pradesh","₹ 6,500",Houses & Villas,2,1,Semi-Furnished,Owner,90,85,No,0,1,1,0,East,
1487,"INDIRAPURAM, GHAZIABAD,Uttar Pradesh","₹ 13,500",Builder Floors,2,2,Semi-Furnished,Dealer,1000,1000,Yes,1000,4,1,3,East,
1488,"RAJAJIPURAM, LUCKNOW,Uttar Pradesh","₹ 9,500",Houses & Villas,2,1,Semi-Furnished,Owner,1000,900,No,200,1,0,1,South,
1489,"GREATER NOIDA WEST, GREATER NOIDA,Uttar Pradesh","₹ 6,000",Apartments,3,2,Semi-Furnished,Owner,1265,500,Yes,0,21,1,17,South-East,
1490,"NH-24, GHAZIABAD,Uttar Pradesh","₹ 7,000",Builder Floors,3,3,Furnished,Owner,1310,1214,Yes,1860,3,1,2,East,
1491,"INDIRAPURAM, GHAZIABAD,Uttar Pradesh","₹ 13,500",Apartments,2,3,Semi-Furnished,Dealer,1250,1250,Yes,2300,15,1,10,East,
1492,"INDIRAPURAM, GHAZIABAD,Uttar Pradesh","₹ 11,500",Builder Floors,2,2,Semi-Furnished,Dealer,900,900,Yes,500,4,2,3,East,
1493,"INDIRAPURAM, GHAZIABAD,Uttar Pradesh","₹ 9,000",Builder Floors,1,2,Semi-Furnished,Dealer,650,650,Yes,300,3,1,2,East,
1494,"SHIVPUR, VARANASI,Uttar Pradesh","₹ 6,500",Houses & Villas,2,1,Unfurnished,Owner,1100,1000,Yes,1000,3,1,0,East,
1495,"LDA SECTOR, LUCKNOW,Uttar Pradesh","₹ 6,500",Houses & Villas,1,1,Furnished,Owner,800,800,Yes,500,2,3+,1,North-East,
1496,"LANKA, VARANASI,Uttar Pradesh","₹ 6,000",Houses & Villas,1,1,Unfurnished,Owner,380,350,Yes,6000,3,0,3,,
1497,"MALL ROAD, KANPUR,Uttar Pradesh","₹ 16,000",Apartments,2,1,Furnished,Dealer,850,800,Yes,1,5,1,2,West,
1498,"BTM LAYOUT STAGE 1, BENGALURU,KARNATAKA","₹ 8,000",Apartments,1,1,Semi-Furnished,Owner,500,500,Yes,500,4,0,1,North-West,
1499,"KASAVANAHALLI, BENGALURU,KARNATAKA","₹ 10,999",Apartments,2,1,Unfurnished,Owner,600,500,Yes,500,3,0,2,East,
1500,"BADEPUR COLONY, KALABURAGI,KARNATAKA","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,700,700,Yes,150,2,3+,0,East,
1501,"HULIMAVU, BENGALURU,KARNATAKA","₹ 6,000",Houses & Villas,1,1,Semi-Furnished,Owner,450,450,Yes,0,2,0,1,North,
1502,"COX TOWN, BENGALURU,KARNATAKA","₹ 8,500",Houses & Villas,1,1,Semi-Furnished,Owner,400,400,Yes,0,2,0,2,East,
1503,"SARJAPURA, BENGALURU,KARNATAKA","₹ 7,999",Apartments,1,1,Semi-Furnished,Owner,650,600,Yes,499,3,0,2,East,
1504,"VIMANAPURA, BENGALURU,KARNATAKA","₹ 8,500",Houses & Villas,1,1,Semi-Furnished,Owner,450,450,Yes,0,2,0,2,East,
1505,"PANATHUR, BENGALURU,KARNATAKA","₹ 3,00,000",Houses & Villas,1,1,Unfurnished,Owner,600,9900452548,No,0,2,1,1,North-East,
1506,"KALAVAR, MANGALURU,KARNATAKA","₹ 9,000",Houses & Villas,2,2,Semi-Furnished,Owner,1450,1500,No,9000,1,3,1,North-East,
1507,"ELECTRONIC CITY PHASE II, BENGALURU,KARNATAKA","₹ 6,500",Builder Floors,1,1,Semi-Furnished,Owner,500,500,Yes,0,2,0,0,East,
1508,"RT NAGAR, BENGALURU,KARNATAKA","₹ 3,999",Apartments,1,1,Furnished,Owner,350,300,Yes,499,4,0,3,North,
1509,"HORMAVU, BENGALURU,KARNATAKA","₹ 19,000",Apartments,2,2,Unfurnished,Owner,1200,1200,Yes,3000,1,1,1,North-East,
1510,"BEGUR, BENGALURU,KARNATAKA","₹ 12,000",Houses & Villas,2,2,Semi-Furnished,Owner,1200,260,Yes,1000,3,1,0,North,
1511,"MARATHAHALLI, BENGALURU,KARNATAKA","₹ 5,50,000",Builder Floors,1,1,Semi-Furnished,Dealer,500,380,Yes,1500,3,1,2,North,
1512,"HEBBAL, BENGALURU,KARNATAKA","₹ 5,999",Apartments,1,1,Furnished,Owner,300,350,Yes,499,5,0,3,North,
1513,"MARATHAHALLI, BENGALURU,KARNATAKA","₹ 11,50,000",Apartments,2,2,Semi-Furnished,Dealer,1200,1000,Yes,3000,5,1,1,North,
1514,"APACHE NAGAR, DAVANAGERE,KARNATAKA","₹ 2,500",Houses & Villas,1,1,Furnished,Owner,15,15,Yes,2500,1,0,2,West,
1515,"BASAVESHVARA NAGAR, BENGALURU,KARNATAKA","₹ 22,000",Houses & Villas,2,2,Semi-Furnished,Owner,1000,1000,No,0,1,1,1,North,
1516,"AECS LAYOUT, BENGALURU,KARNATAKA","₹ 15,000",Builder Floors,1,1,Furnished,Owner,500,500,Yes,0,6,1,1,North-East,
1517,"HULIMAVU, BENGALURU,KARNATAKA","₹ 10,000",Builder Floors,1,1,Semi-Furnished,Owner,600,550,Yes,500,4,0,2,North,
1518,"JP NAGAR PHASE 9, BENGALURU,KARNATAKA","₹ 7,000",Builder Floors,1,1,Furnished,Owner,600,600,No,,3,0,3,North,
1519,"NAGARBHAVI, BENGALURU,KARNATAKA","₹ 16,000",Builder Floors,2,2,Semi-Furnished,Dealer,1200,1050,No,1000,3,0,1,North,
1520,"NAGARBHAVI, BENGALURU,KARNATAKA","₹ 15,000",Builder Floors,2,1,Semi-Furnished,Dealer,1000,750,No,1000,3,0,0,North,
1521,"NAGARBHAVI, BENGALURU,KARNATAKA","₹ 9,000",Builder Floors,1,1,Semi-Furnished,Dealer,700,600,No,1000,3,0,2,North,
1522,"BANASHANKARI STAGE 2, BENGALURU,KARNATAKA","₹ 43,000",Builder Floors,3,3,Semi-Furnished,Dealer,2100,1800,No,3000,4,1,2,North,
1523,"JP NAGAR PHASE 6, BENGALURU,KARNATAKA","₹ 5,500",Houses & Villas,1,1,Semi-Furnished,Owner,450,1200,Yes,,2,0,1,West,
1524,"RAMAKRISHNA NAGAR, MYSURU,KARNATAKA","₹ 12,000",Houses & Villas,2,2,Unfurnished,Owner,1200,1100,No,0,2,1,1,East,
1525,"PANDESHWAR, MANGALURU,KARNATAKA","₹ 14,000",Houses & Villas,2,2,Unfurnished,,1200,1200,No,,,1,,,Contact 8884557711
1526,"VALEPURA, BENGALURU,KARNATAKA","₹ 8,000",Houses & Villas,2,2,Semi-Furnished,Owner,700,600,No,0,2,0,0,East,
1527,"VINOBANAGARA, SHIVAMOGGA,KARNATAKA","₹ 7,500",Houses & Villas,2,1,Semi-Furnished,Owner,1500,750,No,0,3,0,1,East,
1528,"KR PURAM, BENGALURU,KARNATAKA","₹ 4,50,000",Houses & Villas,1,1,Semi-Furnished,Owner,800,700,No,500,2,0,0,East,
1529,"MARATHAHALLI, BENGALURU,KARNATAKA","₹ 10,000",Builder Floors,2,1,Semi-Furnished,Owner,800,900,Yes,0,2,0,0,East,
1530,"MCC, DAVANAGERE,KARNATAKA","₹ 9,000",Builder Floors,2,1,Semi-Furnished,Owner,1200,1200,No,9000,2,0,1,East,
1531,"LAXMINARAYANA LAYOUT, BENGALURU,KARNATAKA","₹ 9,200",Houses & Villas,2,1,Semi-Furnished,Owner,1200,1800,No,,1,,,East,Dhanush Homes
1532,"VICTORIA LAYOUT, BENGALURU,KARNATAKA","₹ 30,000",Apartments,2,2,Semi-Furnished,Owner,1100,1100,Yes,2500,4,1,2,North-East,
1533,"BHANDRAHALLI, BHADRAVATI,KARNATAKA","₹ 2,000",Houses & Villas,1,1,Furnished,Owner,0,0,Yes,,1,1,1,North,
1534,"MS PALLYA, BENGALURU,KARNATAKA","₹ 7,500",Builder Floors,2,1,,Owner,600,600,No,,,,,,
1535,"KORAMANGALA, BENGALURU,KARNATAKA","₹ 15,000",Apartments,1,1,Furnished,Builder,450,500,Yes,1000,5,1,5,North,
1536,"WHITEFIELD, BENGALURU,KARNATAKA","₹ 21,000",Apartments,3,2,Semi-Furnished,Owner,1450,1450,No,2500,4,1,3,East,
1537,"DEVASANDRA EXTENSION, BENGALURU,KARNATAKA","₹ 6,500",Houses & Villas,1,1,Unfurnished,Owner,250,1200,,,,,,,
1538,"DASARAHALLI MAIN ROAD, BENGALURU,KARNATAKA","₹ 10,700",Houses & Villas,2,2,Semi-Furnished,Owner,600,600,Yes,1000,3,1,2,East,
1539,"HBR LAYOUT, BENGALURU,KARNATAKA","₹ 7,00,000",Houses & Villas,2,2,Semi-Furnished,,1200,1200,Yes,,3,1,0,East,
1540,"DOMINIC LAYOUT, BENGALURU,KARNATAKA","₹ 8,000",Houses & Villas,1,1,Furnished,Owner,600,1200,No,,3,1,28,North,
1541,"AMARAVATHI NAGAR, BANGARAPET,KARNATAKA","₹ 8,500",Houses & Villas,2,3,Semi-Furnished,Owner,1200,1110,No,8500,0,0,0,East,
1542,"MUNEKOLALA, BENGALURU,KARNATAKA","₹ 20,000",Houses & Villas,2,2,Semi-Furnished,Owner,1299,1200,Yes,500,2,1,1,East,
1543,"BDO QUARTERS, KUMTA,KARNATAKA","₹ 3,000",Houses & Villas,1,1,Semi-Furnished,Owner,130,130,Yes,0,2,1,0,North,
1544,"JP NAGAR PHASE 6, BENGALURU,KARNATAKA","₹ 14,00,000",Builder Floors,2,2,Semi-Furnished,Dealer,1050,1000,No,1000,4,0,3,West,
1545,"DODDA BASTI, BENGALURU,KARNATAKA","₹ 5,500",Houses & Villas,1,1,Semi-Furnished,Owner,3000,600,No,250,2,1,2,East,
1546,"VINOBANAGARA, SHIVAMOGGA,KARNATAKA","₹ 6,000",Houses & Villas,1,1,Unfurnished,Owner,1200,550,Yes,6000,1,0,1,East,
1547,"AMRUTAHALLI, BENGALURU,KARNATAKA","₹ 6,00,000",Houses & Villas,2,1,Semi-Furnished,Owner,650,600,Yes,500,2,0,2,North,
1548,"PANJIMOGARU, MANGALURU,KARNATAKA","₹ 18,000",Apartments,3,3,Semi-Furnished,Owner,1550,700,Yes,1500,5,1,5,North-East,
1549,"WHITEFIELD, BENGALURU,KARNATAKA","₹ 15,000",Apartments,1,1,Furnished,Owner,600,500,Yes,0,5,3+,2,North-East,
1550,"KADUGODI, BENGALURU,KARNATAKA","₹ 10,000",Apartments,2,2,Semi-Furnished,Owner,1200,1000,No,,5,1,3,North,SSk Residency
1551,"GUBBY COLONY, KALABURAGI,KARNATAKA","₹ 11,000",Apartments,2,2,Semi-Furnished,Owner,962,692,No,1200,4,1,2,North,
1552,"JEPPINAMOGARU, MANGALURU,KARNATAKA","₹ 11,000",Houses & Villas,2,2,Unfurnished,Owner,1200,100,No,0,2,1,1,East,
1553,"CHOLURPALYA, BENGALURU,KARNATAKA","₹ 9,00,000",Houses & Villas,2,1,,Owner,1050,1200,Yes,0,3,2,2,East,Veronica Nest
1554,"CV RAMAN NAGAR, BENGALURU,KARNATAKA","₹ 12,000",Apartments,1,1,Furnished,Owner,750,700,Yes,,4,0,3,East,Bindhu Enclave
1555,"IMMADIHALLI, BENGALURU,KARNATAKA","₹ 24,000",Apartments,2,2,Furnished,Owner,1110,1110,Yes,2400,3,1,2,,Saranya Shantiniketan
1556,"PENSHAN MOHALLA, HASSAN,KARNATAKA","₹ 5,700",Houses & Villas,2,1,Unfurnished,Owner,1200,1200,No,1,1,3,0,East,
1557,"MARGONDANAHALLI, BENGALURU,KARNATAKA","₹ 8,500",Houses & Villas,2,1,Semi-Furnished,Owner,1350,1000,No,,2,1,0,North,
1558,"MAHADEVAPURA, BENGALURU,KARNATAKA","₹ 26,000",,,,,,,,,,,,,,
1559,"WILSON GARDEN, BENGALURU,KARNATAKA","₹ 30,000",Apartments,3,3,Semi-Furnished,,1400,1400,Yes,3000,4,1,3,East,
1560,"KACHARAKANAHALLI, BENGALURU,KARNATAKA","₹ 12,00,000",Houses & Villas,2,2,Semi-Furnished,,1200,1200,Yes,,3,1,0,East,
1561,"SAMPIGENAGAR KHB LAYOUT, BENGALURU,KARNATAKA","₹ 17,000",Apartments,2,2,Semi-Furnished,Owner,1341,1150,Yes,3200,7,1,7,East,
1562,"RAJASHREE LAYOUT, BENGALURU,KARNATAKA","₹ 5,00,000",,,,,,,,,,,,,,
1563,"RAJA SHIVCHATRAPATI CHOWK, MUTGA,KARNATAKA","₹ 3,000",Houses & Villas,1,1,Unfurnished,Owner,320,300,Yes,3000,2,,1,,
1564,"JAWAHAR NAGAR, RAICHUR,KARNATAKA","₹ 20,000",Houses & Villas,4,3,Furnished,Owner,1500,1200,No,20000,1,1,1,East,
1565,"KAGGADASAPURA, BENGALURU,KARNATAKA","₹ 11,00,000",Apartments,2,2,Semi-Furnished,Owner,1200,1100,Yes,,,1,4,North,BS/SVP/SF/Lease/@11L
1566,"ELECTRONIC CITY PHASE I, BENGALURU,KARNATAKA","₹ 16,000",Apartments,2,2,Furnished,Owner,650,600,Yes,,4,0,1,East,BS/P44/FF/2bhk/Rent/@16k
1567,"HSR LAYOUT SECTOR 7, BENGALURU,KARNATAKA","₹ 13,000",Builder Floors,2,2,Semi-Furnished,Owner,800,900,Yes,500,3,0,3,North,
1568,"HSR LAYOUT SECTOR 7, BENGALURU,KARNATAKA","₹ 8,00,000",Builder Floors,2,2,Semi-Furnished,Owner,800,900,Yes,1000,3,0,1,North,
1569,"SHIVKUMAR SWAMY NAGAR, DAVANAGERE,KARNATAKA","₹ 13,500",Builder Floors,2,2,Semi-Furnished,Owner,1200,1300,,,,1,,East,
1570,"KITHIGANUR, BENGALURU,KARNATAKA","₹ 10,000",Apartments,2,2,Semi-Furnished,Owner,1000,900,No,,3,1,1,North,cybele Greens BDA approved layout
1571,"ITI LAYOUT, BENGALURU,KARNATAKA","₹ 30,000",Houses & Villas,2,2,Furnished,Owner,1240,1200,Yes,,3,0,1,South,
1572,"BOMMANAHALLI, BENGALURU,KARNATAKA","₹ 10,000",Builder Floors,1,1,Semi-Furnished,Owner,4000,550,Yes,0,3,0,1,North,
1573,"REDDYPALYA JYOTHI NAGAR, BENGALURU,KARNATAKA","₹ 25,000",Houses & Villas,3,2,Semi-Furnished,Owner,2400,130,Yes,0,2,2,1,East,
1574,"RT NAGAR, BENGALURU,KARNATAKA","₹ 13,500",Apartments,2,1,Semi-Furnished,Owner,750,650,Yes,,2,,0,North-East,
1575,"COX TOWN, BENGALURU,KARNATAKA","₹ 4,00,000",Houses & Villas,1,1,Unfurnished,Owner,350,350,Yes,,2,0,1,East,Kr garden
1576,"SHIVAJI NAGAR, BELAGAVI,KARNATAKA","₹ 8,000",Apartments,2,1,Semi-Furnished,Owner,700,1200,Yes,,2,,0,South,
1577,"WHITEFIELD, BENGALURU,KARNATAKA","₹ 30,000",Apartments,2,2,Furnished,Owner,1200,1100,Yes,,,1,1,North,W/RG/FF/2bhk/Rent/@30k
1578,"HALLEHALLI, BENGALURU,KARNATAKA","₹ 15,000",Houses & Villas,2,2,Semi-Furnished,Owner,1200,1100,No,0,1,1,1,North,
1579,"BANGALORE MYSORE HIGHWAY, BENGALURU,KARNATAKA","₹ 15,00,000",Apartments,2,2,Furnished,Owner,1145,1145,Yes,2000,4,1,3,North-East,
1580,"BENSON TOWN, BENGALURU,KARNATAKA","₹ 15,00,000",Apartments,2,2,Semi-Furnished,,1200,1200,Yes,,4,1,3,East,
1581,"ELECTRONIC CITY, BENGALURU,KARNATAKA","₹ 14,000",Apartments,2,2,Semi-Furnished,Owner,919,919,Yes,2300,5,1,4,,Ittina Mahavir
1582,"AREHALLI, BENGALURU,KARNATAKA","₹ 22,000",Apartments,2,2,Furnished,Owner,1090,1000,,2000,4,1,4,North-East,
